,Consumer Contribution
OT REPORT,Matthew Barlett OT Report
PAC-DAY,Community Visit - Day
PAC-EVE,Community Visit - Evening
PAC-SAT,Community Visit - Saturday
PAC-NS-DAY,PAC Nursing Day Rate
PAC-NS-EVE,PAC Nusing Evening Rate
PAC-NS-SAT,PAC Nursing Saturday Rate
PAC-NS-SUN,PAC Nursing Sunday Rate
PAC-SAT,PAC Community Visit -SAT
PAC-SHORT,PAC- Short Visit
PAC-SUN,Community Visit - Sunday 
PC-DAY,Personal Care - Day
PC-DAY25%,PC Fee Reduced by 25% - Mon-Fri - 7am-5pm
PC-DAY50%,PC Fee Reduced by 50% - Mon-Fri - 7am-5pm
PC-DAY75%,PC Fee Reduced by 75% - Mon-Fri - 7am-5pm
PC-DAYFREE,Personal Care free of Charge
PC-EVEN,PC - Mon-Fri - 5pm-7am
PC-SAT,PC Saturday - All Hours
PC-SUN,PC Sunday - All Hours
PETER-5D-A,5 DOCK HEALTH - ACCUPUNCTURE
PETER-5D-C,5 DOCK HEALTH - COMBINED SRV
PETER-5D-M,5 DOCK HEALTH - MASSAGE
PHYSIO-FEE,Kate Toughy Main Physio Fee
POD-TAYLER,Lambton Foot Clinic Helen Tayler - Podiatrist
POD-TEHAN,Nelson Bay Podiatry - Patrick Tehan
PORT/S-DAY,PORT STEPHENS - DAY
PORT/S-SAT,PORT STEPHENS - SATURDAY
PORT/S-SUN,PORT STEPHENS - SUNDAY
PRIV-ADMIN,PRIV-Daily Admin Charge 
PRIV-CM,PRIV- Case Management Hourly Rate
RDNSEVERN,RDNS NS RN M-F 8pm-6.30am
RDNSSATCW2,RDNS NS Complex CW Saturday
RDNSSATEN,RDNS NS EN Saturday
RDNSSATRN,RDNS NS RN Saturday
RDNSSUNCW2,RDNS NS Complex CW Sunday
RES-DAY,Respite Care - Day
RES-DAY50%,Respite Care 50% Rate
RES-DAYF,Respite Care Full Day 
RES-DAYFRE,Respite - No Fee to Client
RES-DAYH,Respite Care Half Day
RES-EVEN,Respite Evening 6pm-7am
RES-FREE,Respite Care - No Charge
RES-O/N,Respite Care - Over Night
RES-SAT,Respite Saturday - All Hours
RES-SUN,Respite Sunday - All Hours
SELECT,SELECT RATE
SS-DAY,Social Support -Day
SS-DAY25%,SS Dementia Monitor 25%dsc
SS-DAY50%,Social Support 50% Rate
SS-DAYF,Social Support Full Day
SS-DAYFREE,Social Support Free of Charge
SS-DAYH,Social Support Half Day
SS-DEMMON,SS Dementia Monitoring 
SSDM,SS - Dementia Monitoring - All Hours
SSDMHRLY,SSDM Hourly Rate
SSDMHRRATE,SSDM Hourly Rate Full
SSDM-PHONE,SSDM Phone Monitoring
SS-EVEN,Social Support Evening 6pm-7am
SS-SAT,Social Support Saturday - All Hours
SS-SUN,Social Support Sunday - All Hours
TRANSCAR,Community Transport Trip - Carer
TRANSCLI,Community Transport Trip
VITAL MED,Vital Medical Supplies
VitalCall,VITAL CALL
